"10016","Commercial","u8","f8","m3","h6","i1","a1","w5","b1","o1","p10","c1","a5"
"10017","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10017","Commercial","u3","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","p7","Unknown","a10"
"10017","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10017","Commercial","u4","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10018","Residential","u1","f7","m4","h1","i10","a1","w1","b1","o1","p7","c1","a10"
"10018","Commercial","u3","f7","m4","h1","i10","a1","w1","b1","o1","p1","c1","a1"
"10018","Residential","u1","f7","m4","h1","i10","a1","w1","b1","o1","p7","c1","a10"
"10018","Commercial","u5","f7","m4","h1","i10","a1","w1","b1","o1","p7","c1","a10"
"10019","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10019","Commercial","u6","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10019","Residential","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10019","Commercial","u13","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10020","Commercial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10020","Commercial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10021","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10021","Commercial","u4","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","p10","Unknown","a3"
"10021","Residential","u3","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10021","Commercial","u6","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10022","Residential","u1","f10","m1","h1","i10","a1","w1","b1","o1","p10","c1","a10"
"10022","Commercial","u4","f10","m1","h1","i10","a1","w5","b1","o3","p10","c1","a8"
"10022","Residential","u2","f10","m1","h1","i10","a1","w1","b1","o1","p10","c1","a8"
"10022","Commercial","u9","f10","m1","h1","i10","a1","w1","b1","o1","p10","c1","a8"
"10023","Residential","u1","f8","m3","h5","i2","a1","w5","b1","o1","p10","c1","a3"
"10023","Commercial","u2","f8","m3","h5","i2","a1","w5","b1","o1","p10","c1","a3"
"10023","Residential","u5","f8","m3","h5","i2","a1","w5","b1","o1","p10","c1","a3"
"10023","Commercial","u12","f8","m3","h5","i2","a1","w5","b1","o1","p10","c1","a3"
"10024","Residential","u1","f10","m1","h1","i1","a8","w1","b1","o3","p10","c1","a8"
"10024","Commercial","u2","f10","m1","h1","i1","a8","w5","b1","o1","p1","c1","a1"
"10024","Residential","u5","f10","m1","h1","i1","a8","w1","b1","o3","p1","c1","a1"
"10024","Commercial","u6","f10","m1","h1","i1","a8","w1","b1","o3","p1","c1","a1"
"10025","Residential","u1","f7","m4","h6","i1","a1","w5","b1","o1","p9","c1","a7"
"10025","Commercial","u4","f7","m4","h6","i1","a1","w1","b1","o1","p9","c1","a9"
"10025","Residential","u4","f7","m4","h6","i1","a1","w1","b1","o1","p9","c1","a9"
"10025","Commercial","u10","f7","m4","h6","i1","a1","w1","b1","o1","p9","c1","a9"
"10026","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10026","Commercial","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10026","Residential","u3","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10026","Commercial","u6","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10027","Residential","u1","f6","m5","h2","i2","a1","w6","b2","o1","p9","c1","a9"
"10027","Commercial","u4","f6","m5","h2","i2","a1","w1","b1","o1","p10","c1","a6"
"10027","Residential","u3","f6","m5","h2","i2","a1","w1","b1","o1","p10","c1","a6"
"10027","Commercial","u13","f6","m5","h2","i2","a1","w1","b1","o1","p10","c1","a6"
"10028","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10028","Commercial","u2","Unknown","Unknown","Unknown","Unknown","Unknown","w8","Unknown","Unknown","Unknown","Unknown","Unknown"
"10028","Residential","u2","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10028","Commercial","u5","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10029","Residential","u1","f7","m4","h2","i1","a1","w8","b1","o1","p10","c1","a6"
"10029","Commercial","u3","f7","m4","h2","i1","a1","w1","b1","o1","p1","c1","a1"
"10029","Residential","u2","f7","m4","h2","i1","a1","w8","b1","o1","p10","c1","a6"
"10029","Commercial","u16","f7","m4","h2","i1","a1","w8","b1","o1","p10","c1","a6"
"10030","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10030","Commercial","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","p10","Unknown","a7"
"10030","Residential","u3","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10030","Commercial","u5","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10031","Residential","u1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10031","Commercial","u3","Unknown","Unknown","Unknown","Unknown","Unknown","w2","Unknown","Unknown","Unknown","Unknown","Unknown"
